Total messages (with text): 16628
Unique users who posted: 162

Rank  Name                               Messages  
-------------------------------------------------------
1     Jamina Dasch                       1644      
2     Nagual Anaam                       1461      
3     Oz Mosis                           1324      
4     nuc                                1128      
5     Unknown                            1123      
6     Abrar Amer                         1030      
7     D W                                791       
8     Peter                              680       
9     V M                                619       
10    Hanzo                              494       
11    Marco                              444       
12    Bluent                             393       
13    Amy                                367       
14    محمدسروش                           330       
15    Mr Yabusa                          308       
16    Panzocoatl                         295       
17    Harald                             252       
18    Shaun Son                          208       
19    Auriel                             191       
20    Natalia Talipova                   166       
21    David Ottolenghi                   157       
22    Ewa                                141       
23    Hugo                               139       
24    Ясна                               135       
25    M                                  132       
26    David                              126       
27    Aryan Chaubey                      113       
28    Robert Hoenselaar                  106       
29    Artist                             98        
30    Sabrina                            88        
31    Fernando                           87        
32    Sandeep                            81        
33    Brooke Sophia                      79        
34    Aleed                              72        
35    Aleksander Biliński                71        
36    Glow Warm                          63        
37    Mohsen                             63        
38    Milko Dimov                        59        
39    Raimonds D.                        59        
40    Слава                              59        
41    Phoenix🐦‍🔥                         56        
42    Erfan                              55        
43    Cornelius                          53        
44    Ian Minick                         53        
45    Jarrad Gould                       52        
46    شاهرخ 🚲                            51        
47    Sergei                             51        
48    ◼️                                 46        
49    David Grattz 💗                     45        
50    Ben ♟️                             44        
51    Required Optional                  42        
52    nikki seren                        42        
53    ~.,;:°^°:;,.~ ⌛                    36        
54    Jay G                              34        
55    Hokage Hokage                      33        
56    Gill                               32        
57    Cer Llama                          31        
58    Fer Car                            29        
59    Slay Buddha                        28        
60    Wøøf                               24        
61    Tamar                              24        
62    Terra-P                            24        
63    Николай                            23        
64    Pratik B                           23        
65    fatum star                         22        
66    Ken Boyce                          17        
67    Tatty BoJangles                    16        
68    Justin Zalewski                    16        
69    String                             15        
70    Ishita                             15        
71    Brandon Lugo                       14        
72    Tzveta                             14        
73    Pitterson Cavalcante               14        
74    Mark                               14        
75    Asaya                              13        
76    Joshua 🐉 Edjida                    13        
77    Victory                            13        
78    2nobre                             12        
79    Shayan                             12        
80    Tleu                               11        
81    S.O.S.'s                           11        
82    Ram                                11        
83    Rookie Scout                       11        
84    S K                                10        
85    H R                                10        
86    John Joseph                        10        
87    Reto B                             10        
88    Kris                               10        
89    Eyal                               9         
90    B                                  9         
91    Alex B                             8         
92    Murielle Kesteloot                 7         
93    Tom Siddle                         7         
94    Pedram                             7         
95    Inner Kindness                     6         
96    رسول بیطرفان مهندس ارشد بیمه       6         
97    Francisco, PacoGenkoji Lugoviña    6         
98    caj3me                             6         
99    Steen                              5         
100   Tatyana Urbanovich                 5         
101   Marcus L                           5         
102   Kisha Bo                           4         
103   Данил                              4         
104   Yonny                              4         
105   Nahuatl Ometotl                    4         
106   jesse                              4         
107   Ivaylo                             4         
108   ElVladimir                         4         
109   E                                  4         
110   Sigurfreyr Jónasson                4         
111   Theresa                            4         
112   Nick Sullivan                      3         
113   Komplim Astro                      3         
114   Camilo                             3         
115   Jewels                             3         
116   yogi                               3         
117   Ilona                              3         
118   Marcel                             3         
119   Rado                               3         
120   Serban Mocanu                      3         
121   ナワル                                3         
122   Avianna                            2         
123   Berenika Mularczyk                 2         
124   Culea Florina Tatiana              2         
125   Erini                              2         
126   Alex,                              2         
127   Mahmud AhmadiJavdan                2         
128   Ashavan Mardy                      2         
129   Bernardo Chatillon                 2         
130   CK1                                2         
131   𝑻𝑵𝑿𝑶 ︎ ︎︎ ︎ ︎ ︎ ︎︎ ︎ ︎ ︎ ︎︎ ︎ ︎︎︎ ︎ ︎ ︎ ︎ ︎ ︎︎ ︎ ︎ ︎ ︎ ︎ ︎2         
132   Andrew                             1         
133   Pablo Abbona                       1         
134   Abner                              1         
135   Arturo Fugueroa                    1         
136   Brian                              1         
137   Deemz                              1         
138   Mehmet                             1         
139   Netty Spaghetti                    1         
140   Monika                             1         
141   Dagmara                            1         
142   Mathieu                            1         
143   Anton                              1         
144   Derwen Lyava                       1         
145   Dar o                              1         
146   Oli                                1         
147   D                                  1         
148   Cinque Reeves                      1         
149   'le'a optional                     1         
150   Андрей Aragorn                     1         
151   .                                  1         
152   Olupandu N 👑                       1         
153   M B                                1         
154   Emroz                              1         
155   @R3PLIC4NT                         1         
156   William Reis                       1         
157   Eive K                             1         
158   ━━━ ﷽━━━ M.D.M.                    1         
159   Johnny Johnnyson                   1         
160   Tim                                1         
161   Kristina Stefanovski               1         
162   Domovoi                            1         
